run,run_id,weighting,hidden_state_method,hidden_state_layer,signal,n_train,n_validation,n_test,positive_rate_test,test_has_two_classes,weighted,feature_count,p_greater_than_n_train,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_generation_confidence,650,150,200,0.695,True,True,896,True,0.7,0.1544639626061719,0.5384601989454894,0.2078668924626898,31,11,0.7290954121948343
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.695,True,True,896,True,0.7,0.0835861290315503,0.2278526483702646,0.2002299688170005,0,0,0.7290954121948343
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_platt_confidence,650,150,200,0.695,True,True,896,True,0.69,0.1618566504447021,0.2903643927763124,0.2103785846497618,0,0,0.7290954121948343
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_isotonic_confidence,650,150,200,0.695,True,True,896,True,0.7,0.1447699598496252,0.4087048832271762,0.2094278313009692,1,1,0.7292723198490388
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.695,True,True,896,True,0.69,0.1618566504447021,0.2903643927763124,0.2103785846497618,0,0,0.7290954121948343
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.695,True,True,896,True,0.7,0.1435002494321044,0.4087048832271762,0.2093521585701792,1,1,0.7291543814129025
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.695,True,True,896,True,0.735,0.2166365858653769,0.6498929064225074,0.2234379688679114,23,22,0.7220191060266541
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,hidden_conservative_confidence,650,150,200,0.695,True,True,896,True,0.735,0.1475698403792026,0.6498929064225074,0.1938880851032266,11,2,0.7951409364311829
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.695,True,True,896,True,0.755,0.1758250449002547,0.4898582889016208,0.2016741577747995,19,14,0.7594055902818728
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.695,True,True,896,True,0.755,0.1296415298219327,0.4898582889016208,0.1804311987600733,11,1,0.8209694539450407
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.695,True,True,896,True,0.745,0.2104341187957589,0.6409342068774315,0.2236765587870134,24,22,0.7246137516216535
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_generation_confidence,650,150,200,0.695,True,False,896,True,0.7,0.1544639626061719,0.5384601989454894,0.2078668924626898,31,11,0.7290954121948343
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.695,True,False,896,True,0.7,0.060656781122651,0.3694319441704777,0.188149231519744,9,1,0.7290954121948343
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_platt_confidence,650,150,200,0.695,True,False,896,True,0.73,0.0536037450093233,0.7445385453193943,0.1861048561235166,10,0,0.7290954121948343
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_isotonic_confidence,650,150,200,0.695,True,False,896,True,0.73,0.0743026315789473,0.1377551020408163,0.1875685941828254,13,4,0.7338129496402878
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.695,True,False,896,True,0.73,0.0536037450093233,0.7445385453193943,0.1861048561235166,10,0,0.7290954121948343
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.695,True,False,896,True,0.73,0.0730329211614265,0.1377551020408163,0.1874929214520354,13,4,0.7336950112041515
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.695,True,False,896,True,0.76,0.1982158172842311,0.5877562585061513,0.2153422455135163,25,22,0.7213114754098361
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,hidden_conservative_confidence,650,150,200,0.695,True,False,896,True,0.76,0.1331339555339099,0.5877562585061513,0.1839494102021874,12,2,0.7974997051539097
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.695,True,False,896,True,0.76,0.1761144766089541,0.4617991485347886,0.1954146701178826,22,17,0.7597594055902819
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.695,True,False,896,True,0.76,0.1144745787990094,0.4617991485347886,0.1709381887271341,12,2,0.8271022526241302
Qwen SQuAD,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.695,True,False,896,True,0.75,0.1935111622436222,0.5476918616899117,0.2158003972498333,25,22,0.7255572591107442
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_generation_confidence,650,150,200,0.185,True,True,896,True,0.565,0.3540278905417691,0.5201313618499708,0.2545761122742079,9,3,0.7655446857900846
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.185,True,True,896,True,0.565,0.3472416761678573,0.420339439850067,0.2450194015710375,3,0,0.7655446857900846
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_platt_confidence,650,150,200,0.185,True,True,896,True,0.695,0.2698002061332545,0.4023839561099272,0.1995554954560435,1,0,0.7655446857900846
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_isotonic_confidence,650,150,200,0.185,True,True,896,True,0.795,0.2388297043044546,0.7950310559006212,0.1885853614920993,5,0,0.7385176587630575
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.185,True,True,896,True,0.695,0.2692743343777155,0.4023839561099272,0.1994951617263429,1,0,0.7655446857900846
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.185,True,True,896,True,0.795,0.2384779803294627,0.7950310559006212,0.1881841284345991,5,0,0.7398441386171447
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.185,True,True,896,True,0.815,0.1536514982671639,0.5709936456264694,0.1634183002020411,12,9,0.776653954568065
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,hidden_conservative_confidence,650,150,200,0.185,True,True,896,True,0.85,0.1097397797209616,0.340021121605753,0.1311997938442703,1,0,0.7917426629083071
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.185,True,True,896,True,0.81,0.1369646828444193,0.5178426082173774,0.1523516335109926,9,8,0.8031835516498094
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.185,True,True,896,True,0.845,0.0961739866647923,0.3338065124208922,0.1243080458840843,1,0,0.815453490300116
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,weighted,answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.185,True,True,896,True,0.805,0.1361922500476317,0.5984883488308943,0.158669425717309,10,8,0.7832863538385011
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_generation_confidence,650,150,200,0.185,True,False,896,True,0.565,0.3540278905417691,0.5201313618499708,0.2545761122742079,9,3,0.7655446857900846
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.185,True,False,896,True,0.565,0.3320869563924519,0.4068307521129649,0.2445310112308198,0,0,0.7655446857900846
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_platt_confidence,650,150,200,0.185,True,False,896,True,0.815,0.0632613811338191,0.4493182267755005,0.1304119660164203,0,0,0.7655446857900846
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_isotonic_confidence,650,150,200,0.185,True,False,896,True,0.845,0.0459978398617511,0.4,0.1270264731979713,0,0,0.7385176587630575
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.185,True,False,896,True,0.815,0.0631720637827354,0.4493182267755005,0.1304103703199447,0,0,0.7655446857900846
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.185,True,False,896,True,0.845,0.0459978398617511,0.4,0.1270264731979713,0,0,0.7385176587630575
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.185,True,False,896,True,0.8,0.1441891676666194,0.5143280459867208,0.1595934630834902,7,5,0.7776488144586304
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,hidden_conservative_confidence,650,150,200,0.185,True,False,896,True,0.835,0.1081039330914,0.4413141718305087,0.1372445030748713,0,0,0.7861051235284364
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.185,True,False,896,True,0.83,0.14311528870908,0.662735128915453,0.149443322165696,8,4,0.8061681313215056
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.185,True,False,896,True,0.855,0.1237617561969782,0.3494064995690875,0.130382600402672,1,0,0.8144586304095507
Qwen TriviaQA,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,unweighted,answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.185,True,False,896,True,0.825,0.1417711418060141,0.8831361058959764,0.1530313652813467,5,3,0.7862709335101973
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,weighted,answer_mean,-1,raw_generation_confidence,650,150,200,0.93,True,True,3072,True,0.93,0.0383235694708927,0.6546099210622672,0.053994056110109,11,4,0.8300691244239631
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,weighted,answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.93,True,True,3072,True,0.93,0.3228973879156024,0.3389095532815108,0.1656477271799066,0,0,0.8300691244239631
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,weighted,answer_mean,-1,raw_platt_confidence,650,150,200,0.93,True,True,3072,True,0.765,0.4300065292003094,0.476713208454266,0.2484963043069775,0,0,0.8300691244239631
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,weighted,answer_mean,-1,raw_isotonic_confidence,650,150,200,0.93,True,True,3072,True,0.54,0.3079807692307693,0.5842760180995477,0.2370441937869823,2,2,0.6866359447004609
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,weighted,answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.93,True,True,3072,True,0.765,0.4300065292003094,0.476713208454266,0.2484963043069775,0,0,0.8300691244239631
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,weighted,answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.93,True,True,3072,True,0.54,0.3073671558386239,0.5842760180995477,0.237038215592075,2,2,0.6730030721966206
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,weighted,answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.93,True,True,3072,True,0.935,0.0561624454859981,0.6147313669531319,0.0607765365483767,10,9,0.8229646697388633
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,weighted,answer_mean,-1,hidden_conservative_confidence,650,150,200,0.93,True,True,3072,True,0.935,0.0340926885408608,0.6147313669531319,0.0515302170336177,7,3,0.8767281105990783
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,weighted,answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.93,True,True,3072,True,0.935,0.0547118504440045,0.4471263211984073,0.0594088159338514,10,8,0.8333333333333334
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,weighted,answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.93,True,True,3072,True,0.935,0.0329711185600593,0.4471263211984073,0.0507794456644713,7,3,0.8774961597542242
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,weighted,answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.93,True,True,3072,True,0.935,0.0524112098813587,0.9490462326420246,0.0572950180240368,8,7,0.8429339477726574
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,unweighted,answer_mean,-1,raw_generation_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.0383235694708927,0.6546099210622672,0.053994056110109,11,4,0.8300691244239631
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,unweighted,answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.0267030640533946,0.5942554673176884,0.0529664353850376,10,4,0.8300691244239631
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,unweighted,answer_mean,-1,raw_platt_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.0433678102087335,0.0433678102087335,0.0669625525024169,14,14,0.8300691244239631
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,unweighted,answer_mean,-1,raw_isotonic_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.039090909090909,0.039090909090909,0.0646005509641873,14,14,0.6866359447004609
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,unweighted,answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.0458869749285215,0.6546099210622672,0.0538781389209286,11,4,0.8300691244239631
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,unweighted,answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.0423464156460314,0.6546099210622672,0.0543409420592995,11,4,0.8185483870967742
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,unweighted,answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.066182710399532,0.9471361374988128,0.0641195436358886,10,10,0.8314132104454686
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,unweighted,answer_mean,-1,hidden_conservative_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.0404525727382629,0.9471361374988128,0.052890960683603,7,3,0.8867127496159755
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,unweighted,answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.065298740734339,0.9568531392082888,0.0631955616365886,10,10,0.8287250384024577
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,unweighted,answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.0398945041792735,0.9568531392082888,0.0522979884838902,7,3,0.8867127496159755
Phi SQuAD,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,unweighted,answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.0637604737048813,0.8994930394682318,0.0619448810538646,10,10,0.8506144393241167
Phi TriviaQA,freegpu-triviaqa1000-microsoft_Phi-3.5-mini-instruct-answermean,weighted,answer_mean,-1,raw_generation_confidence,650,150,200,0.54,True,True,3072,True,0.565,0.3168565231878469,0.5677124346719619,0.2891792605167781,44,17,0.8514492753623188
Phi TriviaQA,freegpu-triviaqa1000-microsoft_Phi-3.5-mini-instruct-answermean,weighted,answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.54,True,True,3072,True,0.565,0.1759211810982071,0.4753178319030723,0.2118373368871139,0,0,0.8514492753623188
