run,weighting,metric,raw,best_raw_only,hidden_conservative,hidden_only,raw_plus_hidden,probe_score_plus_raw
Gemma SQuAD,unweighted,brier,0.2909880753764364,0.2276912363942627,0.1282051845438844,0.132759141146059,0.1314681102310628,0.1221780244231234
Gemma SQuAD,unweighted,ece,0.2489786310840339,0.0156624622938605,0.0991828238490457,0.1309193818363956,0.1240174640181502,0.1231147651030803
Gemma SQuAD,unweighted,auc,0.5125274725274725,0.5312637362637362,0.8763736263736264,0.9023076923076924,0.9027472527472528,0.9023076923076924
Gemma SQuAD,unweighted,wrong_conf_ge_0_8,64.0,0.0,12.0,15.0,14.0,13.0
Gemma SQuAD,unweighted,wrong_conf_ge_0_9,35.0,0.0,6.0,12.0,12.0,12.0
Gemma SQuAD,weighted,brier,0.2909880753764364,0.2443533580507017,0.1338563196753647,0.1364360444728983,0.1367904104807677,0.127036679626615
Gemma SQuAD,weighted,ece,0.2489786310840339,0.1307024594383149,0.1211250675240738,0.142019061662539,0.142931722831602,0.1114631587340341
Gemma SQuAD,weighted,auc,0.5125274725274725,0.5312637362637362,0.8757142857142857,0.901868131868132,0.9024175824175824,0.9028571428571428
Gemma SQuAD,weighted,wrong_conf_ge_0_8,64.0,0.0,11.0,13.0,13.0,12.0
Gemma SQuAD,weighted,wrong_conf_ge_0_9,35.0,0.0,6.0,12.0,12.0,10.0
Gemma TriviaQA,unweighted,brier,0.4922919812216266,0.1595840171580268,0.1903240840499081,0.2046523936437152,0.2017190906175938,0.1947573861686392
Gemma TriviaQA,unweighted,ece,0.5764265596376101,0.0603452278402465,0.1856155146610592,0.1988586349032727,0.1924538445005701,0.1718893343691525
Gemma TriviaQA,unweighted,auc,0.7291078486730661,0.7291078486730661,0.7676453980801807,0.7639751552795031,0.7682100508187465,0.7683512140033879
Gemma TriviaQA,unweighted,wrong_conf_ge_0_8,80.0,0.0,5.0,11.0,11.0,9.0
Gemma TriviaQA,unweighted,wrong_conf_ge_0_9,19.0,0.0,1.0,8.0,9.0,7.0
Gemma TriviaQA,weighted,brier,0.4922919812216266,0.2190090166007457,0.1883981978216432,0.2062691698143145,0.2034469869473897,0.1960369506325767
Gemma TriviaQA,weighted,ece,0.5764265596376101,0.244737617809481,0.1750133016815664,0.1911357959645146,0.1911001182897351,0.1772051860634324
Gemma TriviaQA,weighted,auc,0.7291078486730661,0.7291078486730661,0.7708921513269339,0.7636928289102202,0.7686335403726708,0.7684923771880293
Gemma TriviaQA,weighted,wrong_conf_ge_0_8,80.0,0.0,10.0,17.0,17.0,15.0
Gemma TriviaQA,weighted,wrong_conf_ge_0_9,19.0,0.0,2.0,11.0,11.0,9.0
Phi SQuAD,unweighted,brier,0.053994056110109,0.0529664353850376,0.052890960683603,0.0641195436358886,0.0631955616365886,0.0619448810538646
Phi SQuAD,unweighted,ece,0.0383235694708927,0.0267030640533946,0.0404525727382629,0.066182710399532,0.065298740734339,0.0637604737048813
Phi SQuAD,unweighted,auc,0.8300691244239631,0.8300691244239631,0.8867127496159755,0.8314132104454686,0.8287250384024577,0.8506144393241167
Phi SQuAD,unweighted,wrong_conf_ge_0_8,11.0,10.0,7.0,10.0,10.0,10.0
Phi SQuAD,unweighted,wrong_conf_ge_0_9,4.0,4.0,3.0,10.0,10.0,10.0
Phi SQuAD,weighted,brier,0.053994056110109,0.1656477271799066,0.0515302170336177,0.0607765365483767,0.0594088159338514,0.0572950180240368
Phi SQuAD,weighted,ece,0.0383235694708927,0.3073671558386239,0.0340926885408608,0.0561624454859981,0.0547118504440045,0.0524112098813587
Phi SQuAD,weighted,auc,0.8300691244239631,0.8300691244239631,0.8767281105990783,0.8229646697388633,0.8333333333333334,0.8429339477726574
Phi SQuAD,weighted,wrong_conf_ge_0_8,11.0,0.0,7.0,10.0,10.0,8.0
Phi SQuAD,weighted,wrong_conf_ge_0_9,4.0,0.0,3.0,9.0,8.0,7.0
Phi TriviaQA,unweighted,brier,0.2891792605167781,0.170497786676424,0.2016143022434341,0.2205942468314399,0.2146717227357861,0.2007614197659911
Phi TriviaQA,unweighted,ece,0.3168565231878469,0.0635156861248027,0.1580072351197776,0.2040381177204673,0.1967036277743787,0.1576641460558602
Phi TriviaQA,unweighted,auc,0.8514492753623188,0.8514492753623188,0.8307165861513688,0.8073671497584541,0.813305152979066,0.8201489533011272
Phi TriviaQA,unweighted,wrong_conf_ge_0_8,44.0,0.0,11.0,16.0,17.0,15.0
Phi TriviaQA,unweighted,wrong_conf_ge_0_9,17.0,0.0,3.0,13.0,13.0,9.0
Phi TriviaQA,weighted,brier,0.2891792605167781,0.170497786676424,0.2011656173710933,0.2206376577423729,0.2141102196212037,0.2005333188268978
Phi TriviaQA,weighted,ece,0.3168565231878469,0.0635156861248027,0.1576535205502543,0.2073197726957432,0.1956753035632517,0.1542970241054507
Phi TriviaQA,weighted,auc,0.8514492753623188,0.8514492753623188,0.8306159420289855,0.8065619967793881,0.8135064412238325,0.8198470209339774
Phi TriviaQA,weighted,wrong_conf_ge_0_8,44.0,0.0,11.0,17.0,17.0,15.0
Phi TriviaQA,weighted,wrong_conf_ge_0_9,17.0,0.0,3.0,13.0,13.0,9.0
Qwen SQuAD,unweighted,brier,0.2078668924626898,0.1861048561235166,0.1839494102021874,0.2153422455135163,0.1954146701178826,0.2158003972498333
Qwen SQuAD,unweighted,ece,0.1544639626061719,0.0536037450093233,0.1331339555339099,0.1982158172842311,0.1761144766089541,0.1935111622436222
Qwen SQuAD,unweighted,auc,0.7290954121948343,0.7338129496402878,0.7974997051539097,0.7213114754098361,0.7597594055902819,0.7255572591107442
Qwen SQuAD,unweighted,wrong_conf_ge_0_8,31.0,9.0,12.0,25.0,22.0,25.0
Qwen SQuAD,unweighted,wrong_conf_ge_0_9,11.0,0.0,2.0,22.0,17.0,22.0
Qwen SQuAD,weighted,brier,0.2078668924626898,0.2002299688170005,0.1938880851032266,0.2234379688679114,0.2016741577747995,0.2236765587870134
Qwen SQuAD,weighted,ece,0.1544639626061719,0.0835861290315503,0.1475698403792026,0.2166365858653769,0.1758250449002547,0.2104341187957589
Qwen SQuAD,weighted,auc,0.7290954121948343,0.7292723198490388,0.7951409364311829,0.7220191060266541,0.7594055902818728,0.7246137516216535
Qwen SQuAD,weighted,wrong_conf_ge_0_8,31.0,0.0,11.0,23.0,19.0,24.0
Qwen SQuAD,weighted,wrong_conf_ge_0_9,11.0,0.0,2.0,22.0,14.0,22.0
Qwen TriviaQA,unweighted,brier,0.2545761122742079,0.1270264731979713,0.1372445030748713,0.1595934630834902,0.149443322165696,0.1530313652813467
Qwen TriviaQA,unweighted,ece,0.3540278905417691,0.0459978398617511,0.1081039330914,0.1441891676666194,0.14311528870908,0.1417711418060141
Qwen TriviaQA,unweighted,auc,0.7655446857900846,0.7655446857900846,0.7861051235284364,0.7776488144586304,0.8061681313215056,0.7862709335101973
Qwen TriviaQA,unweighted,wrong_conf_ge_0_8,9.0,0.0,0.0,7.0,8.0,5.0
Qwen TriviaQA,unweighted,wrong_conf_ge_0_9,3.0,0.0,0.0,5.0,4.0,3.0
Qwen TriviaQA,weighted,brier,0.2545761122742079,0.1881841284345991,0.1311997938442703,0.1634183002020411,0.1523516335109926,0.158669425717309
Qwen TriviaQA,weighted,ece,0.3540278905417691,0.2384779803294627,0.1097397797209616,0.1536514982671639,0.1369646828444193,0.1361922500476317
Qwen TriviaQA,weighted,auc,0.7655446857900846,0.7655446857900846,0.7917426629083071,0.776653954568065,0.8031835516498094,0.7832863538385011
Qwen TriviaQA,weighted,wrong_conf_ge_0_8,9.0,1.0,1.0,12.0,9.0,10.0
Qwen TriviaQA,weighted,wrong_conf_ge_0_9,3.0,0.0,0.0,9.0,8.0,8.0
